lat	lon	title	description	iconSize	iconOffset	icon
5193501.5396258	1601689.3235986	AnxaLug	<a href="http://www.anxalug.org/">http://www.anxalug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5166217.616273	1494370.8668264	AvezzanoLUG	<a href="http://avezzanolug.org/">http://avezzanolug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5127145.0269981	1569996.1079768	LUG CdS	<a href="http://lugcds.wordpress.com/">http://lugcds.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5154529.4989323	1506653.6479318	MarsicaLug	<a href="http://www.marsicalug.it/">http://www.marsicalug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5168162.1308373	1550581.0982292	SulmonaLug	<a href="http://sulmonalug.it/">http://sulmonalug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5230172.4368088	1581873.3410453	PescaraLug	<a href="http://www.pescaralug.org/">http://www.pescaralug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5252759.2058806	1565819.9572802	PinetoLUG	<a href="http://www.pilug.org/">http://www.pilug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5260548.9323903	1524966.8173597	TeLug	<a href="http://www.telug.it/">http://www.telug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4963570.7036896	1848079.4317065	MateraLinux	<a href="http://www.materalinux.it/">http://www.materalinux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4960019.6559753	1759801.9623249	Baslug	<a href="http://www.baslug.org/">http://www.baslug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4706040.2274781	1847758.8315731	HackLab CatanZaro	<a href="http://hacklab.cz/">http://hacklab.cz/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4794398.6662506	1811968.5020931	Bogomips Lug	<a href="http://www.blug.it/">http://www.blug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4839863.0233945	1804743.8671417	CastroLug	<a href="http://castrolug.altervista.org/">http://castrolug.altervista.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
4766172.7528301	1808962.8758421	CSLug	<a href="http://cslug.linux.it/">http://cslug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
